freq_Hz,Re,Im
3.6440034217e+10,-1.5958543604e+01,4.9307966892e-01
3.6540144201e+10,1.4276109373e+01,6.6311208750e+00
3.6640254186e+10,-9.9723458468e+00,-7.1451884823e+00
3.6740364170e+10,6.1211591528e+00,7.2488890393e+00
3.6840474154e+10,-3.3032430945e+00,-1.4279807594e+01
3.6940584138e+10,-3.8878392501e+00,1.9179554879e+01
3.7040694122e+10,1.4283821479e+01,-1.0332053475e+01
3.7140804106e+10,-1.4974908742e+01,-3.4834305851e-01
3.7240914090e+10,7.9586228533e+00,5.2193901826e+00
3.7341024074e+10,-4.3461955863e+00,-3.4857808163e+00
3.7441134058e+10,6.7701524939e+00,-2.9266894345e+00
3.7541244043e+10,-2.4895809667e+00,2.3726398363e+00
3.7641354027e+10,-8.0753944136e+00,-3.9383643008e-01
3.7741464011e+10,8.8932516165e+00,-1.3330476400e+00
3.7841573995e+10,-6.2886339428e+00,7.1352561127e+00
3.7941683979e+10,9.0847767560e+00,-6.1559796241e+00
3.8041793963e+10,-5.4454822476e+00,-1.9256682182e+00
3.8141903947e+10,-3.2365670249e+00,5.0502285304e+00
3.8242013931e+10,9.3203874169e-01,-1.4988656934e+00
3.8342123915e+10,2.2960758164e+00,-2.8146463581e+00
3.8442233900e+10,3.6680206970e+00,5.1560349342e+00
3.8542343884e+10,-2.1653320396e+00,-3.7344936422e-01
3.8642453868e+10,-1.7933033966e+00,-3.5768675958e+00
3.8742563852e+10,-5.3953857146e+00,-1.5808691918e+00
3.8842673836e+10,8.5331389316e+00,1.8883177986e+00
3.8942783820e+10,-6.2657267342e+00,5.1250603361e+00
3.9042893804e+10,3.9798610334e+00,-7.2264638217e+00
3.9143003788e+10,3.1195505470e+00,7.1747662930e+00
3.9243113772e+10,-2.1248762777e+00,-1.2021031979e+01
3.9343223757e+10,-6.8990892313e+00,1.2735148621e+01
3.9443333741e+10,1.2885978211e+01,-4.5539621894e+00
3.9543443725e+10,-1.0768966831e+01,-1.9189758406e+00
3.9643553709e+10,2.0229814964e+00,3.0269502043e+00
3.9743663693e+10,-6.6368853147e+00,2.2641692707e+00
3.9843773677e+10,1.9041839882e+01,-9.6410421802e+00
3.9943883661e+10,-1.1094118250e+01,3.0459917778e+00
4.0043993645e+10,-4.0620783508e+00,8.4356816278e+00
4.0144103629e+10,-3.0857009774e+00,-5.0507392106e+00
4.0244213614e+10,1.6774500717e+01,-7.2230147057e+00
4.0344323598e+10,-1.5550859896e+01,8.1883323180e+00
4.0444433582e+10,1.1618705223e+01,-2.2631817203e+00
4.0544543566e+10,-8.0059131549e+00,3.9892815752e+00
4.0644653550e+10,3.1124964519e+00,-6.2420955962e+00
4.0744763534e+10,-6.4163428523e+00,7.1385198802e+00
4.0844873518e+10,8.9211752028e+00,-2.3707700047e+00
4.0944983502e+10,-4.6285396397e+00,-3.3604979470e+00
4.1045093486e+10,8.6455048308e-01,1.4383277856e+00
4.1145203471e+10,-4.5662511032e+00,-2.7890648391e+00
4.1245313455e+10,1.1486535703e+01,5.7969627861e-01
4.1345423439e+10,-1.2226042520e+01,3.4182814918e+00
4.1445533423e+10,1.2075517095e+01,5.0174203872e+00
4.1545643407e+10,-4.4217762650e+00,-8.9663667917e+00
4.1645753391e+10,-4.3310644738e+00,1.6113278429e+00
4.1745863375e+10,-2.0339579645e+00,6.2868390825e+00
4.1845973359e+10,2.3991085439e+00,-1.0601748172e+01
4.1946083344e+10,3.8168325987e+00,6.1978637647e+00
4.2046193328e+10,7.4255163611e-01,-3.0641588541e+00
4.2146303312e+10,-5.9794423111e+00,4.3262618804e+00
4.2246413296e+10,7.6786570209e+00,5.8541390617e+00
4.2346523280e+10,-3.0220725838e+00,-1.5349419679e+01
4.2446633264e+10,-9.5608870993e+00,8.1076279136e+00
4.2546743248e+10,8.8587000805e+00,-2.7935045808e-01
4.2646853232e+10,4.3214334150e+00,2.9076084599e+00
4.2746963216e+10,-5.8688707381e+00,-6.4034827006e+00
4.2847073201e+10,1.9860151891e+00,3.4704605122e+00
4.2947183185e+10,-3.2802934763e+00,-2.2645071320e+00
4.3047293169e+10,7.3356617189e+00,5.6272773911e+00
4.3147403153e+10,-6.1830450334e+00,-4.4597602550e+00
4.3247513137e+10,6.2514465223e-01,7.4641607055e-01
4.3347623121e+10,-3.4773424278e+00,-2.5588154944e+00
4.3447733105e+10,4.2330195969e+00,5.1969216831e+00
4.3547843089e+10,-4.9611313534e+00,6.2355553912e-02
4.3647953073e+10,1.2608143176e+01,-4.6266640687e+00
4.3748063058e+10,-1.0152191078e+01,1.1448634319e+00
4.3848173042e+10,6.1207585340e+00,2.2333943406e+00
4.3948283026e+10,-1.5828650516e+01,1.0478276769e+00
4.4048393010e+10,2.6093585806e+01,-3.8304786048e+00
4.4148502994e+10,-2.3282612348e+01,-5.7522636843e-01
4.4248612978e+10,1.1561378887e+01,8.3761157567e+00
4.4348722962e+10,-3.6455316597e+00,-1.3909968609e+01
